"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Raleigh, Cal","663728","2023","569",27.8,9.5,".326",".330",36.5,12.6,41,"101.028271404","94.749354873",29.9,49.7
"Smith, Will","669257","2023","554",16.1,11.4,".345",".352",37.5,6.7,41.6,"99.645654456","94.001340492",19.5,45.7
"Friedl Jr., TJ","670770","2023","556",16.2,8.5,".353",".289",32,3.2,27.6,"96.368739947","92.196228515",18.2,42.2
"Bellinger, Cody","641355","2023","556",15.6,7.2,".370",".327",38,6.1,31.4,"97.661544057","92.874372388",20.1,49.9
"Cronenworth, Jake","630105","2023","522",18.6,8.8,".301",".305",35.7,4.4,33.2,"97.73147257","92.917093417",15.9,47.6
"Guerrero Jr., Vladimir","665489","2023","682",14.7,9.8,".340",".378",32.4,11.1,49.2,"104.050992964","96.528144743",23,50.6
"Walker, Christian","572233","2023","661",19.2,9.4,".351",".339",32.6,11.4,40.4,"100.601281422","94.397470475",26.4,48.6
"Rosario, Amed","642708","2023","545",18.2,5.3,".297",".305",33.8,3.4,39.4,"99.501582705","93.941784576",23.1,53.4
"Happ, Ian","664023","2023","691",22.1,14.3,".345",".350",36.7,9,39,"99.676936326","94.121891884",25.2,44.4
"Hernández, Teoscar","606192","2023","678",31.1,5.6,".317",".336",35.2,13.8,49.4,"103.014681476","96.109592578",35.8,53.6
"García, Adolis","666969","2023","632",27.7,10.3,".354",".366",36,16.1,49.7,"102.949539534","96.163808523",31.6,48.6
"LeMahieu, DJ","518934","2023","562",22.2,10.7,".315",".322",31.6,5.9,43,"100.265359786","94.32212244",19.7,39.2
"Santander, Anthony","623993","2023","656",23.2,8.4,".340",".319",33,10.2,46,"101.732013378","95.319994041",23.5,49
"Crawford, J.P.","641487","2023","638",19.6,14.7,".359",".340",35.3,4.8,36.2,"99.143101569","93.649442623",18.6,38.6
"Giménez, Andrés","665926","2023","616",18.2,5.2,".309",".297",29.9,5.5,27,"96.663934128","92.344201908",25,54.6
"Harris II, Michael","671739","2023","539",18.7,4.6,".345",".357",34.6,10,48.5,"103.586789505","96.131496609",24.4,52.9
"Candelario, Jeimer","600869","2023","576",22,9.2,".346",".318",36.9,7.9,36.4,"99.185208","93.708029184",24.2,47.4
"Realmuto, J.T.","592663","2023","540",25.6,6.5,".324",".334",36.2,11.2,43.3,"101.30139764","94.961935393",26.2,50.5
"McNeil, Jeff","643446","2023","648",10,6,".314",".294",32.1,1.3,27.4,"95.984354131","92.004150754",13.4,53
"Outman, James","681546","2023","567",31.9,12,".344",".325",38.2,11.1,39.9,"99.962159145","94.027798454",36.6,46
"Rodríguez, Julio","677594","2023","714",24.5,6.6,".347",".345",31.8,11.9,52,"104.082287708","96.812366417",28.2,53.9
"Springer III, George","543807","2023","683",18.3,8.8,".320",".332",32.2,7.7,39.9,"100.34851102","94.297792755",22.3,49.3
"Yelich, Christian","592885","2023","632",22.2,12.3,".353",".362",30.4,9.2,50.1,"103.18368722","96.096251589",26.8,45
"Ramírez, José","608070","2023","691",10.6,10.6,".346",".359",36.8,7,40.4,"100.07775","94.35370079",15.6,46.6
"Meneses, Joey","608841","2023","657",19.8,5.8,".314",".288",32.9,5.4,41.7,"99.929364091","94.237468244",23.6,47.6
"Ozuna, Marcell","542303","2023","592",22.6,9.6,".381",".393",34.9,16.6,49,"103.257673232","96.232240934",26.7,48.4
"Nootbaar, Lars","663457","2023","503",19.7,14.3,".344",".356",30.8,8.8,37.8,"100.334219085","94.369985457",18.2,35.5
"Peña, Jeremy","665161","2023","634",20.3,6.8,".310",".305",32.4,4,35.8,"99.143524796","93.690137489",28.3,53.2
"De La Cruz, Bryan","650559","2023","626",22.7,6.4,".309",".331",41,8.8,42.5,"100.272527091","94.400399818",28.7,50.1
"Verdugo, Alex","657077","2023","602",15.4,7.5,".322",".331",35.4,5,37.6,"99.116993728","93.701176864",15.6,40.9
"Díaz, Yandy","650490","2023","600",15.7,10.8,".402",".383",30.5,9.5,54,"104.285177685","97.074568747",18.3,42.6
"Semien, Marcus","543760","2023","753",14.6,9.6,".354",".333",37.5,6.5,37,"98.08417844","93.189258191",18,47.1
"McMahon, Ryan","641857","2023","627",31.6,10.8,".325",".335",39.4,11.4,44.2,"102.017798324","95.343043101",32.2,47.4
"Hayes, Ke'Bryan","663647","2023","525",19.8,5.3,".324",".324",34.1,7.4,48.3,"101.67326359","95.450846324",21.2,45.6
"Devers, Rafael","646240","2023","656",19.2,9.5,".359",".380",30,12.7,55.1,"104.483705833","97.182864659",26.1,52.6
"Steer, Spencer","668715","2023","665",20.9,10.2,".355",".333",35.3,6.7,37.1,"99.167567432","93.741896795",24.1,43.8
"Olson, Matt","621566","2023","720",23.2,14.4,".413",".392",31,16.4,55.5,"104.825276757","97.314084392",28.4,46.8
"Arenado, Nolan","571448","2023","612",16.5,6.7,".327",".320",33,7.3,38.1,"99.311427863","93.760489679",20.2,48.5
"Taveras, Leody","665750","2023","554",21.1,6.3,".316",".319",35.2,7.2,43.1,"100.592817638","94.514120854",24.2,49.4
"Goldschmidt, Paul","502671","2023","687",23.4,12.7,".350",".367",35.6,12,50.8,"102.40959555","95.767792759",27.5,44
"Thomas, Lane","657041","2023","682",25.8,5.3,".334",".319",36.8,9.6,40.7,"100.191573957","94.319062004",23,43.6
"Díaz, Elias","553869","2023","526",22.4,6.5,".314",".296",31.2,6.2,38.4,"100.035107459","94.071648482",28.4,54.8
"Witt Jr., Bobby","677951","2023","694",17.4,5.8,".343",".369",34.4,11.5,45.6,"102.080606768","95.411820457",22.8,50.5
"Lindor, Francisco","596019","2023","687",19.9,9.6,".346",".346",35.8,10.4,43.9,"100.821281314","94.916417775",22.8,48
"Burger, Jake","669394","2023","540",27.6,5.9,".349",".359",33.4,16.7,49.6,"105.009725862","96.989580029",34.1,54
"Turner, Trea","607208","2023","691",21.7,6.5,".333",".330",36.1,8.4,42.2,"100.292342286","94.550003245",29.6,53.1
"Soto, Juan","665742","2023","708",18.2,18.6,".395",".408",28.5,13,55.3,"104.484350409","97.215905977",20.4,35.8
"Renfroe, Hunter","592669","2023","548",22.8,8,".308",".289",29.5,6.1,39.1,"100.508778984","94.37524563",26.4,50.8
