"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gausman, Kevin","592332","2024","190",22.6,5.8,".358",".364",41.8,10.4,38.8,"78.012764776","94.478611418",24.9,48.8
"Kikuchi, Yusei","579328","2024","236",25.8,5.5,".275",".264",29,7.4,41.4,"78.749931125","94.277325",24.7,47.7
"Sale, Chris","519242","2024","221",31.7,3.6,".235",".255",28.8,3.6,28.8,"72.534168116","92.62052708",31.4,52
"Kirby, George","669923","2024","230",23.5,2.2,".292",".295",33.5,9,33.5,"77.748999518","93.742611265",22.7,54.5
"López, Pablo","641154","2024","226",27.9,4,".311",".285",35.5,8.6,38.8,"76.846940789","93.603936447",28.7,49
"Rodriguez, Grayson","680570","2024","168",26.2,8.9,".318",".319",39.8,8.3,43.5,"78.199123148","94.373298981",29.4,48.3
"Blanco, Ronel","669854","2024","190",23.7,11.1,".253",".280",23,5.7,35.2,"77.319430656","93.290513033",28.5,48.7
"Pérez, Martín","527048","2024","242",18.2,7,".364",".363",34.6,9.5,46.4,"78.531272135","95.423700452",18.9,46.1
"Jones, Jared","683003","2024","231",29.4,4.3,".286",".288",35.5,9.2,42.8,"78.719963816","94.449429013",35.5,56.4
"Ureña, José","570632","2024","160",15,8.1,".283",".305",29.5,7.4,37.7,"77.815786885","94.028831322",24.6,46.6
"Lynn, Lance","458681","2024","224",21.4,8.9,".321",".326",33.3,9.8,35.9,"78.127005789","94.03656543",24.8,47.3
"Hicks, Jordan","663855","2024","215",18.6,7.9,".273",".307",29,7.1,39.4,"79.733571447","94.346649145",22.4,45.3
"Ryan, Joe","657746","2024","237",27,3.8,".277",".269",32.5,9.2,37.4,"77.629034198","93.900452981",25.5,52.2
"Sánchez, Cristopher","650911","2024","212",22.2,8.5,".312",".309",27.9,6.1,40.1,"77.995838767","94.65098589",24.2,49.2
"Crochet, Garrett","676979","2024","229",32.3,5.7,".269",".238",31.4,5.7,35,"74.867025857","93.485999424",29.2,50.7
"Greene, Hunter","668881","2024","244",27,9.8,".289",".263",27.7,4.1,32.4,"76.412044384","93.148283103",29.1,50.9
"Ragans, Cole","666142","2024","255",29.8,8.2,".264",".292",35.7,6.4,35,"76.811349737","93.55656",31.3,49.6
"Feltner, Ryan","663372","2024","216",19.4,6.5,".349",".310",29.7,7,38,"75.007615641","93.855288645",24.1,51.1
"Cortes Jr., Nestor","641482","2024","264",23.9,5.7,".278",".272",30.3,6.5,42.7,"80.483095495","94.491785989",25,51.2
"Berríos, José","621244","2024","240",20,7.5,".309",".348",33.9,8.9,47.6,"81.472314643","94.881262874",20.3,45.3
"Olson, Reese","681857","2024","203",21.2,7.9,".247",".299",28.4,5.7,46.1,"80.822551408","94.753662057",27.3,46.8
"Dunning, Dane","641540","2024","169",27.8,10.7,".315",".364",37.6,14.9,50.5,"81.53440902","96.197083168",31.5,44
"Wheeler, Zack","554430","2024","244",29.1,7.8,".253",".263",35.8,6.6,33.8,"76.149313333","92.690124667",29.5,50.3
"Flexen, Chris","623167","2024","189",18,7.9,".335",".332",35.7,7.9,33.6,"78.650456143","93.762085899",19.9,46.8
"Castillo, Luis","622491","2024","246",26.8,6.1,".295",".288",36.4,7.3,40,"79.796627778","94.508832236",27.4,51.2
"Marsh, Alec","679525","2024","175",20.6,6.9,".269",".320",37.3,6.3,37.3,"77.670760164","94.186944426",24.7,49.6
"Paddack, Chris","663978","2024","223",21.1,4.5,".341",".326",40.6,10.3,41.2,"78.036043415","94.992034172",24.9,51.2
"Crawford, Kutter","676710","2024","239",23.8,7.5,".269",".288",37.7,6.2,31.5,"77.633548228","92.703058917",25.8,51.6
"Gomber, Austin","596295","2024","235",17.4,7.2,".293",".324",31.6,9.6,37.9,"78.758575402","93.810016667",21.9,46
"Arrighetti, Spencer","681293","2024","154",23.4,11,".380",".344",45,6,38,"76.8927192","94.1626739",27.3,47.7
"Turnbull, Spencer","605513","2024","159",24.5,7.5,".262",".326",35.2,7.6,43.8,"76.190096415","93.83150619",24.2,42.5
"Sears, JP","676664","2024","225",17.3,7.1,".323",".339",36.5,10.2,42.5,"80.162239268","94.847098841",21.3,50.5
"Burnes, Corbin","669203","2024","234",25.6,6.4,".267",".271",22.6,7.5,36.5,"77.08787443","93.886026139",29.9,46.9
"López, Reynaldo","625643","2024","182",24.2,9.3,".260",".304",29.8,5,38.8,"77.258576167","93.854165378",28,48
"Abbott, Andrew","671096","2024","229",18.8,6.6,".300",".266",30.6,6.5,31.2,"78.237133373","92.954382952",19.1,47
"Quantrill, Cal","615698","2024","237",18.6,8.9,".311",".315",32.9,7.1,40.6,"78.523314588","94.685451538",19.7,45.5
"Gilbert, Logan","669302","2024","250",24.8,7.6,".267",".298",35.1,7.1,37.5,"79.776681928","94.668467697",29.3,48.6
"Soroka, Michael","647336","2024","223",15.2,13.5,".361",".376",32.5,9.6,38.9,"77.283284872","94.420626474",19.5,42
"Rodón, Carlos","607074","2024","234",23.5,6.8,".328",".349",35,10.8,45.9,"81.848783418","95.011290828",26.2,49.3
"McKenzie, Triston","663474","2024","223",20.2,13.9,".315",".345",29.7,11,38.6,"80.040721528","94.448976458",21.4,43
"Irvin, Cole","608344","2024","183",16.4,4.4,".286",".321",33.3,7.6,39.6,"80.01528375","93.92545035",17.2,48.4
"Nola, Aaron","605400","2024","258",23.3,7,".278",".302",33.3,6.7,38.9,"78.451666854","94.006551525",22.6,49.3
"Heaney, Andrew","571760","2024","192",22.9,5.7,".315",".319",30.6,9,44.8,"81.378267761","94.944504627",26.7,51.3
"Irvin, Jake","663623","2024","232",19,3.9,".294",".344",35.8,10.2,45.5,"81.139638488","95.326901802",21.4,48.1
"Fedde, Erick","607200","2024","237",21.9,6.3,".290",".295",31.5,7.7,37.1,"76.02248988","93.931292061",21.7,44.6
"Allen, Logan","671106","2024","221",19.5,7.2,".367",".334",35.6,8.8,45,"80.494721375","95.217745535",22.6,45.3
"Valdez, Framber","664285","2024","171",19.9,7,".336",".316",27,4.1,49.2,"82.387648689","95.110284628",25.7,45.2
"Harrison, Kyle","690986","2024","231",21.2,8.2,".312",".323",32.7,8.8,42.1,"79.335478","94.607972579",22.7,47.8
"Montas, Frankie","593423","2024","155",16.1,9.7,".330",".340",30.4,7.1,42,"76.760998364","94.485197523",19.8,48.7
"Yamamoto, Yoshinobu","808967","2024","220",27.7,5,".283",".300",36.1,9.5,44.9,"76.761600822","95.086239247",28.1,48.8
"Glasnow, Tyler","607192","2024","261",33.3,6.5,".247",".252",35.3,7.1,40.4,"79.140579351","94.112447727",29.6,49.7
"Alexander, Tyler","641302","2024","198",18.7,6.1,".326",".345",39.9,10.8,39.2,"77.350741233","94.181606138",17.9,50.5
"Rogers, Trevor","669432","2024","222",18.5,10.4,".382",".361",29.9,7.6,47.8,"81.42331359","95.647864936",24.2,47.3
"Canning, Griffin","656288","2024","223",16.1,9.4,".345",".354",36.8,9.8,41.7,"81.653866543","95.114665432",22,47.2
"Gibson, Kyle","502043","2024","246",18.7,9.3,".316",".368",32.6,11.4,42.9,"77.359515116","94.684807368",24.7,41
"Waldron, Matt","663362","2024","199",22.6,8.5,".332",".316",37.5,8.8,33.8,"76.820292794","93.51882363",20.7,44.2
"Manaea, Sean","640455","2024","196",20.9,10.7,".285",".328",38.6,7.6,39.4,"78.586201231","94.199307",24.4,47.9
"Paxton, James","572020","2024","185",13,13,".311",".368",35,8.8,41.6,"78.74264","94.056045259",18.6,46.2
"Ross, Joe","605452","2024","185",18.9,8.6,".312",".330",32.6,9.8,42.4,"78.123770455","94.362620534",29.6,47.9
"Musgrove, Joe","605397","2024","194",20.1,7.7,".398",".381",38.3,10.5,38.3,"79.77008791","93.515823835",28.1,47.8
"Gore, MacKenzie","669022","2024","199",27.1,8,".327",".310",38.9,7.9,35.7,"74.193052742","93.54500439",28.4,50.2
"Gil, Luis","661563","2024","199",31.2,13.6,".249",".276",32.4,5.6,30.6,"76.979116852","93.643054815",30.8,44.2
"Brown, Hunter","686613","2024","202",21.8,11.9,".394",".333",27.1,4.5,36.8,"77.971035672","93.959706241",25.1,43.9
"Weathers, Ryan","677960","2024","239",19.2,7.9,".296",".326",31.3,8.4,39.8,"79.951218415","94.781144451",25.1,45.3
"Pfaadt, Brandon","694297","2024","247",23.5,4.5,".286",".279",34.3,4.6,37.7,"78.332032209","93.884833547",23.4,49.5
"Darvish, Yu","506433","2024","185",24.9,7,".232",".270",28.8,4,40.8,"80.835442581","94.181533871",24.8,53.2
