"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Raleigh, Cal","663728","2024","174",34.5,9.8,".331",".329",32.3,17.7,57.3,"103.117521458","96.819647684",32.2,51.5
"Doyle, Brenton","686668","2024","187",28.9,8.6,".341",".317",37.9,8.6,42.2,"101.441053036","94.88871",30.8,49.9
"Ozuna, Marcell","542303","2024","195",22.1,11.8,".445",".453",42.2,17.2,54.7,"102.9535825","96.530567578",30.9,48.3
"Rosario, Amed","642708","2024","156",16.7,1.9,".314",".281",33.1,5.5,37,"98.646902656","93.365715984",21.3,57.1
"Mountcastle, Ryan","663624","2024","176",23.3,5.7,".321",".330",33.6,8.8,45.6,"102.07883","95.303893226",23.4,54.5
"Marte, Ketel","606466","2024","221",19.9,7.2,".366",".374",36.3,11.3,54.4,"103.812474125","96.832158868",22.5,52.1
"Gorman, Nolan","669357","2024","165",35.8,12.1,".318",".342",47.7,16.3,38.4,"99.866504651","93.935561512",40.4,49.7
"Happ, Ian","664023","2024","194",27.8,12.9,".296",".304",30.1,8.8,38.9,"101.01239","94.757179286",27.6,46.8
"Bohm, Alec","664761","2024","207",14.5,7.7,".395",".367",36.7,7.6,45.6,"101.294775949","95.151682215",15.8,47
"Alonso, Pete","624413","2024","214",19.2,8.9,".337",".343",31.8,13.2,38.4,"100.884639211","94.629078477",22.1,45.9
"Seager, Corey","608369","2024","205",17.1,12.2,".327",".387",36.8,13.9,43.8,"101.890977361","95.074011875",23.2,52.1
"India, Jonathan","663697","2024","177",19.2,13,".284",".327",35.6,2.5,29.7,"97.181410847","92.644064359",15.8,34.9
"Schanuel, Nolan","694384","2024","181",16,8.3,".300",".302",29.6,3,25.9,"95.07512","91.564564275",14.3,40.7
"Cronenworth, Jake","630105","2024","211",17.5,8.5,".349",".357",36.4,9.9,39.1,"100.190126933","94.325898523",17.8,47.4
"De La Cruz, Bryan","650559","2024","221",25.8,7.7,".329",".349",34.2,11,40.4,"99.862390548","94.061329448",32.2,52
"Altuve, Jose","514888","2024","221",17.2,7.2,".359",".324",37,7.9,33.3,"97.408033086","92.74468677",18.3,50.2
"Torres, Gleyber","650402","2024","211",24.6,9,".273",".283",34.8,5.8,32.6,"98.037052464","93.221052555",27.8,46.9
"Mullins II, Cedric","656775","2024","154",25.3,5.8,".257",".246",25,5.8,36.5,"98.024047885","93.147786408",20.7,52.4
"Bogaerts, Xander","593428","2024","200",20,6,".260",".313",37.2,6.8,31.1,"97.487847162","92.764087905",20.7,42.7
"Ward, Taylor","621493","2024","212",21.2,7.5,".344",".384",45,13.9,43.7,"100.5695712","94.688897",20.6,45.1
"Varsho, Daulton","662139","2024","171",24,11.7,".328",".279",29.1,8.2,33.6,"97.975889815","93.03502",23.5,45.5
"O'Neill, Tyler","641933","2024","165",31.5,13.3,".376",".364",36,19.1,47.2,"102.329378444","95.563838989",32.2,41.8
"Tovar, Ezequiel","678662","2024","210",29,3.8,".330",".281",37.4,7.9,39.6,"98.8860325","93.756705147",34.5,62.5
"Castro, Willi","650489","2024","185",25.4,6.5,".333",".317",37.7,5.7,39.3,"99.238675167","93.767371261",27,51.7
"Abrams, CJ","682928","2024","200",18.5,6,".333",".359",40.5,6.8,39.9,"99.860543288","94.220953562",22.4,54.2
"Tauchman, Mike","643565","2024","177",21.5,14.1,".353",".336",37.5,8,39.3,"98.647256429","93.357194732",24.2,47.3
"Turang, Brice","668930","2024","171",14.6,7.6,".350",".305",34.1,2.3,31.1,"97.044259524","92.71129568",12.7,46.4
"Ohtani, Shohei","660271","2024","226",18.6,10.6,".456",".482",42.4,20.3,60.8,"106.567581646","98.659549045",25.9,46
"Bellinger, Cody","641355","2024","159",16.4,10.1,".336",".322",37.9,8.6,32.8,"98.359402931","93.387796466",26.1,51.3
"Arenado, Nolan","571448","2024","205",16.1,6.8,".308",".299",36.5,1.9,29.5,"96.688837051","92.344418526",20.6,44.3
"Tucker, Kyle","663656","2024","219",16.4,18.7,".450",".432",41.1,14.9,47.5,"100.812616761","95.134089645",19.6,40.3
"Henderson, Gunnar","683002","2024","211",23.7,9.5,".400",".389",32.4,14,58.8,"104.085653971","97.295484485",26.6,45.3
"Chapman, Matt","656305","2024","206",24.3,7.3,".323",".332",31.9,10.1,46.4,"103.600012174","96.13023471",23.9,46.4
"Chourio, Jackson","694192","2024","160",27.5,6.3,".260",".275",29.2,5.7,40.6,"99.112620192","93.793905769",30.1,51.9
"McMahon, Ryan","641857","2024","211",25.1,11.4,".387",".394",37.9,15.9,56.8,"104.542025303","97.575716489",26.3,46.6
"Duran, Jarren","680776","2024","227",22,8.4,".348",".351",36.1,8.4,43.9,"101.485725132","95.271921118",23.5,47.5
"Steer, Spencer","668715","2024","194",17.5,12.4,".321",".334",33.3,6.1,40.9,"99.216794697","93.828236794",19.8,43.5
"Suárez, Eugenio","553993","2024","198",27.3,6.6,".272",".281",39.7,5.6,31.7,"98.114996825","93.090551508",30.7,46.1
"Lindor, Francisco","596019","2024","219",15.1,6.8,".283",".340",28.3,8.4,43.4,"99.604825783","94.209946788",22.1,48.7
"Castellanos, Nick","592206","2024","205",22.9,8.3,".258",".294",34.5,6.5,36.7,"98.488182","93.404490432",34.3,57.5
